repo_owner,repo_project,log_files,log_watch,size_bubble,primary_language,language_entropy
Coding,Coding-iOS,7.48324441607385,6.643789733147672,80.1,Objective-C,0.1074796632384054
sindresorhus,pure,2.4849066497880004,5.631211781821365,66.0,Shell,0.0
preciousforever,sketch-data-populator,4.634728988229636,5.552959584921617,80.2,JavaScript,0.0
HashNuke,hound,4.30406509320417,5.41610040220442,50.2,Elixir,0.1339880686087284
jinzhu,gorm,4.04305126783455,6.752270376141742,53.2,Go,0.0027398423886286
lankton,android-flowlayout,4.1588830833596715,5.342334251964811,74.0,Java,0.0
LiuLang,bcloud,4.30406509320417,5.634789603169249,62.0,Python,0.0
delba,SwiftyOAuth,3.9318256327243257,5.0689042022202315,49.5,Swift,0.1081669125345317
FezVrasta,popper.js,3.332204510175204,7.998671361015776,51.6,JavaScript,0.1658925746065969
ecomfe,fontmin,3.6109179126442243,5.869296913133774,47.9,JavaScript,0.1865650655433255
SickRage,SickRage,8.081784206935001,6.2166061010848646,87.1,Python,0.939424841578326
celluloid,celluloid,4.795790545596741,5.288267030694535,48.8,Ruby,0.0
kymjs,TheMVP,4.624972813284271,5.634789603169249,53.9,Java,0.0
angular,quickstart,3.1780538303479458,6.152732694704104,39.0,JavaScript,0.5415781317492507
Rochester-NRT,AlphaGo,4.1588830833596715,8.329103028159418,53.9,JavaScript,0.9726242432514516
DKirwan,calendar-heatmap,2.1972245773362196,7.271008538280992,33.8,JavaScript,0.693147250588116
krishnasrinivas,wetty,2.772588722239781,5.214935757608986,43.5,TypeScript,0.8839006721912374
hilios,jQuery.countdown,3.332204510175204,5.43372200355424,44.7,JavaScript,0.0
Terry-Mao,goim,4.919980925828125,5.863631175598097,69.9,Go,0.1453079191259192
jsoma,tabletop,3.4657359027997265,5.583496308781699,40.5,JavaScript,0.2811463290938807
ellisonleao,sharer.js,2.4849066497880004,6.773080375655535,52.6,JavaScript,0.0
yosinski,deep-visualization-toolbox,4.248495242049359,5.420534999272286,67.6,Python,0.09058556057278
Samsung,ADBI,5.786897381366708,5.187385805840755,70.8,C,1.1506031194760376
rpush,rpush,5.5053315359323625,5.062595033026967,64.0,Ruby,0.0
baidao,YTXAnimations,4.442651256490317,5.293304824724492,82.8,Objective-C,0.0742695233796734
ant0ine,go-json-rest,3.8918202981106265,5.932245187448011,52.3,Go,0.0
nmattisson,DropdownMenu,3.58351893845611,5.2574953720277815,58.2,Objective-C,0.0779401002470825
hamsternz,FPGA_Webserver,4.110873864173311,6.410174881966167,52.3,VHDL,0.0
